latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15
-1.1090889,0.55664796,0.11657376,0.3829904,-0.025888313,0.14719239,0.26701802,0.87136024,0.4406975,-0.4947682,0.2500636,0.11661238,-0.07235952,-0.013937898,0.8236318,-0.12049937
-1.2515821,0.023361467,-0.7391847,1.1081434,0.36060885,-0.0023315353,-1.9691005,-1.7997048,-1.2895455,-1.2969556,-0.47807226,-1.6256533,1.3354765,-0.50834227,0.6861169,0.51457655
-0.43998003,0.8538905,-0.06059183,1.8746976,0.44733754,-0.5817526,-0.16373931,-1.0278147,-0.36388496,-0.28544924,0.050674707,-0.02604041,0.24217163,-0.6617791,-0.0056707165,0.31357586
0.021835584,0.048044287,0.08411702,0.14243801,0.043231726,-0.095794536,0.06791085,-0.119280525,-0.019952888,0.03681474,-0.057852972,-0.036517803,0.045554984,-0.021993265,-0.0024390086,-0.01589867
0.48659965,0.27138835,0.19926006,0.3182886,-0.18914089,-0.7151599,0.4586686,0.12710783,-0.25280938,-0.12220228,-0.44294813,-0.023910932,-0.30994415,-0.46844485,0.19376524,-0.008230273
-1.2599664,0.5123651,-0.98909724,1.2430512,0.30743974,-0.03116068,0.49377978,-0.80334485,-1.1406635,-0.12241802,-0.09879971,-0.058539297,0.35708088,-1.5489249,0.34071526,0.9965979
0.36539736,-0.4484731,0.5490319,1.2772231,0.14515008,0.25903058,0.8671442,-0.2587385,-0.2735999,-0.3298856,-0.88608557,-0.1269948,-0.6534009,-0.29365954,-0.43165067,0.1910501
0.28148872,-0.36507094,-0.38282254,-0.7363595,-0.1629964,0.46830398,-0.17317103,0.42785576,0.77450204,-0.35428244,0.027930012,-0.41775027,-0.79643434,0.6602819,-0.22969837,-0.7405163
0.026757907,-0.6385782,0.24218883,0.6299656,0.40960577,0.894636,0.09693753,-0.61893094,0.24057154,-0.38102633,-0.5270845,-0.52321595,-0.1846696,0.6180712,-0.42871854,-0.051132657
0.54098296,0.54386663,0.026982155,1.9672413,0.027628142,-0.4481292,-0.2510917,-1.0960279,-0.50587326,-0.60588866,-0.4257888,0.5025427,-0.47499877,-0.5921099,-0.43530715,0.14367282
0.44367048,0.19861591,-0.77360594,-1.1178585,-0.68557495,1.0485368,-0.55810857,0.03879474,1.6189853,-0.6853715,0.16124453,-0.810681,-1.6001626,0.98245513,-0.4172335,-1.5429878
-0.6560172,-0.17731719,-0.9181953,-1.3393219,0.042940468,0.44245484,0.6698275,0.36380905,0.7372071,0.38794893,0.29870042,-0.88013864,-0.7376964,0.022939939,0.0015612524,-0.03229583
-0.19341901,0.13310575,-0.2088181,-0.4709388,-0.020655239,0.3507869,0.24512874,0.9314145,1.237699,-0.25128347,0.66732407,0.06365678,-0.84907293,0.71115386,0.009630682,-0.6368395
